Filename,BPM,MFCC,Centroid,Rolloff,Chroma,ZCR,RMS,Label
blues.00000.wav,[123.046875],3.1174054,1784.416545970319,3806.4186497738488,0.34995052,0.08306639113293343,0.130192,blues
blues.00001.wav,[67.99958882],-0.01152329,1529.8713140945188,3548.9868730952494,0.3409451,0.056044256724071206,0.095891684,blues
blues.00002.wav,[161.49902344],3.3614137,1552.6377863181906,3041.0899442784926,0.3635618,0.07630074799245357,0.17549369,blues
blues.00003.wav,[63.02400915],0.8785795,1070.1100585189854,2185.0617872303114,0.40484834,0.03330894446594427,0.14113921,blues
blues.00004.wav,[135.99917763],-9.650853,1835.5070084014953,3581.003346162684,0.30859816,0.1015001421004257,0.0915404,blues
blues.00005.wav,[69.83741554],-8.226527,1831.9900685948742,3480.8539517523704,0.30241403,0.09403986975135449,0.10343772,blues
blues.00006.wav,[71.77734375],-7.91531,1459.0353761872718,2795.67476160386,0.29140562,0.07302790308146284,0.1416879,blues
blues.00007.wav,[92.28515625],-4.554649,1451.8494584581754,2955.7654602239745,0.3073145,0.06143500266060371,0.13174523,blues
blues.00008.wav,[83.35433468],3.4844193,1719.2739373344168,3781.5188003398316,0.40899816,0.06402757957623839,0.14236063,blues
blues.00009.wav,[80.74951172],-6.9242177,1817.5295464146707,3944.584480970637,0.27401426,0.0792153184258901,0.08132098,blues
blues.00010.wav,[161.49902344],-4.6004353,1410.6753570562125,2767.5082652561437,0.30396512,0.06298072271671827,0.14286481,blues
blues.00011.wav,[161.49902344],-8.579292,1353.3291189300635,2882.31590436339,0.36580706,0.04395891785990712,0.065684564,blues
blues.00012.wav,[184.5703125],-2.1759381,1361.1004062354928,2739.791766187355,0.2693326,0.06912392064144737,0.11902389,blues
blues.00013.wav,[107.66601562],-1.7678081,1324.3317542217217,2710.3669441152283,0.26472628,0.051417300575657895,0.11318897,blues
blues.00014.wav,[151.99908088],-5.8429117,1172.2763008557504,2345.777482071159,0.32904086,0.045045834945820436,0.06693625,blues
blues.00015.wav,[103.359375],-4.2533064,1420.4114787701458,2930.240614569224,0.27034652,0.0637176797116873,0.080638945,blues
blues.00016.wav,[198.76802885],-3.6595657,1455.0424713768248,3009.9651324859715,0.30829644,0.061350725014512386,0.08141902,blues
blues.00017.wav,[172.265625],-1.5104529,1088.7781161784512,2134.7537581027477,0.30223948,0.04832397083010836,0.09325911,blues
blues.00018.wav,[83.35433468],-4.782435,1537.56091926741,3495.4621967516446,0.2700793,0.056131935710139316,0.07964064,blues
blues.00019.wav,[123.046875],-3.6274319,1195.4133983085592,2235.2114839819565,0.25735947,0.05887114817143963,0.09763429,blues
blues.00020.wav,[135.99917763],-3.4003935,1389.9522837601053,3005.7401580338137,0.30279943,0.05256015080785604,0.07535405,blues
blues.00021.wav,[99.38401442],-1.7152452,1046.7275070203577,1831.1222607875386,0.3211421,0.04793735185274768,0.101118095,blues
blues.00022.wav,[95.703125],-0.52752984,1156.202363121508,2170.511875211639,0.306442,0.05861340218653251,0.1134315,blues
blues.00023.wav,[184.5703125],-4.3203373,1210.4571260262846,2522.5430798604393,0.28072092,0.052482675841718264,0.101914905,blues
blues.00024.wav,[103.359375],-3.8945396,1120.3909802285903,2325.127606938129,0.26310804,0.047297899937113,0.08696161,blues
blues.00025.wav,[92.28515625],-2.168899,1109.721378629315,2243.744765715702,0.29098073,0.05172493288022446,0.089179605,blues
blues.00026.wav,[83.35433468],-5.689072,1198.7544985722175,2478.8266775408765,0.27866608,0.051987591911764705,0.076938555,blues
blues.00027.wav,[92.28515625],-4.7926345,1391.4439037459135,2811.1413347462753,0.28870454,0.07235897288602941,0.09572528,blues
blues.00028.wav,[103.359375],-3.9641566,1115.5411952519341,2290.3194840847523,0.2760109,0.04802843217879257,0.09958247,blues
blues.00029.wav,[129.19921875],-9.018686,1649.2877536970093,3761.610587388738,0.280554,0.05292636174535604,0.124669306,blues
blues.00030.wav,[151.99908088],-6.990481,1378.9657764881297,3015.0567683642125,0.26312938,0.03937580120452786,0.17003015,blues
blues.00031.wav,[151.99908088],-9.746158,1331.0365912698594,2900.174129710478,0.2536384,0.04296723829334365,0.1515323,blues
blues.00032.wav,[143.5546875],-11.890649,1309.6646971460593,2765.658276442773,0.27626824,0.03939318583107585,0.101156905,blues
blues.00033.wav,[151.99908088],-9.890762,1430.5981944868504,3246.7553673144835,0.26082012,0.04196988982681889,0.13312429,blues
blues.00034.wav,[184.5703125],-8.466681,1536.7310778930728,3600.91989239672,0.2621187,0.04570040392801858,0.13591798,blues
blues.00035.wav,[129.19921875],-5.0650077,1507.1047288496127,3405.4127412683824,0.28824988,0.045430186363196595,0.17330876,blues
blues.00036.wav,[151.99908088],-8.887079,1247.4080160193946,2621.5758143563758,0.23319606,0.03690378289473684,0.19774859,blues
blues.00037.wav,[123.046875],-14.258257,1188.1011591132929,2339.3941873367357,0.24868348,0.04816032858455882,0.069129966,blues
blues.00038.wav,[86.1328125],-6.0805173,1513.5200525685516,3449.8458059210525,0.26589647,0.044378038530379256,0.1680856,blues
blues.00039.wav,[117.45383523],-15.2067585,1151.378029921571,2312.5276831281444,0.25535825,0.03533878857875387,0.08583747,blues
